Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    297.78     0.00        1     0.00     0.00  startUDPIO
  0.00    297.78     0.00        1     0.00     0.00  startreplacesection
  0.00    297.78     0.00        1     0.00     0.00  stopRTP
  0.00    297.78     0.00        1     0.00     0.00  stopUDPIO
  0.00    297.78     0.00        1     0.00     0.00  udp_dns_init
  0.00    297.78     0.00        1     0.00     0.00  wsockstart

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.00% of 297.78 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00  297.77                 main [1]
              296.75    0.00       1/1           ConsoleLoop [2]
                0.00    1.02       1/1           KadC_stop [3]
                0.00    0.00       2/157         rbt_new [104]
                0.00    0.00       2/2           qa_rbt_destroy [172]
                0.00    0.00       1/1           KadC_init_network [173]
                0.00    0.00       1/1384        new_queue [63]
                0.00    0.00       1/1           udp_dns_init [192]
                0.00    0.00       1/1           KadC_start [175]
                0.00    0.00       1/256         KadC_log [93]
                0.00    0.00       1/1384        destroyq [62]
                0.00    0.00       1/1           KadC_list_outstanding_mallocs [174]
-----------------------------------------------
              296.75    0.00       1/1           main [1]
[2]     99.7  296.75    0.00       1         ConsoleLoop [2]
                0.00    0.00     308/110743      Debug_pthread_mutex_lock [16]
                0.00    0.00     308/110743      Debug_pthread_mutex_unlock [17]
-----------------------------------------------
                0.00    1.02       1/1           main [1]
